Track ID,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
39MK3d3fonIP8Mz9oHCTBB,"Annihilate (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, Lil Wayne, Offset)","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Metro Boomin,Swae Lee,Lil Wayne,Offset",2023-06-02,231746,70,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,hip hop","Republic Records",0.591,0.5,11,-6.206,0,0.0529,0.22,0,0.175,0.201,145.819,4
6HexNTb392JS071DoTGo0y,"Hummingbird (Metro Boomin & James Blake)","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Metro Boomin,James Blake",2023-06-02,319493,64,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"","Republic Records",0.596,0.63,6,-7.807,1,0.102,0.378,0.00407,0.19,0.24,81.408,4
5rurggqwwudn9clMdcchxT,"Calling (Spider-Man: Across the Spider-Verse) (Metro Boomin & Swae Lee, NAV, feat. A Boogie Wit da Hoodie)","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE (SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE)","Metro Boomin,Swae Lee,NAV,A Boogie Wit da Hoodie",2023-06-02,219453,69,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"melodic rap","Republic Records",0.636,0.537,0,-7.902,1,0.0817,0.481,0,0.113,0.199,140.133,4
4D1Lmr5kezw09WYRLbwiZr,"Self Love - Spider-Man: Across the Spider-Verse","METRO BOOMIN PRESENTS SPIDER-MAN: ACROSS THE SPIDER-VERSE [SOUNDTRACK FROM AND INSPIRED BY THE MOTION PICTURE (METROVERSE INSTRUMENTAL EDITION)]","Metro Boomin,Coi Leray",2023-08-04,189466,44,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"","Republic Records",0.751,0.3,4,-9.404,0,0.0584,0.199,0.000341,0.127,0.0551,120.097,4
0YFqKxV9uNu6LUeYkLOKRS,"On Time (with John Legend)","HEROES & VILLAINS","Metro Boomin,John Legend",2022-12-02,168920,61,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"soft pop,neo soul","Republic Records",0.358,0.601,5,-6.7,0,0.048,0.749,0.000407,0.313,0.497,82.513,3
0vjeOZ3Ft5jvAi9SBFJm1j,"Superhero (Heroes & Villains) [with Future & Chris Brown]","HEROES & VILLAINS","Metro Boomin,Future,Chris Brown",2022-12-02,182666,79,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,r&b","Republic Records",0.709,0.583,5,-5.298,0,0.204,0.138,0.00000297,0.195,0.533,116.624,4
2Hh3ETdQKrmSI3QS0hme7g,"Too Many Nights (feat. Don Toliver & with Future)","HEROES & VILLAINS","Metro Boomin,Future,Don Toliver",2022-12-02,199920,82,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Republic Records",0.573,0.668,7,-4.356,0,0.0467,0.189,0.0000401,0.109,0.145,87.973,4
5wG3HvLhF6Y5KTGlK0IW3J,"Trance (with Travis Scott & Young Thug)","HEROES & VILLAINS","Metro Boomin,Travis Scott,Young Thug",2022-12-02,194786,81,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap,melodic rap,trap","Republic Records",0.765,0.552,1,-7.524,0,0.309,0.175,0,0.193,0.492,119.476,4
2dHHgzDwk4BJdRwy9uXhTO,"Creepin' (with The Weeknd & 21 Savage)","HEROES & VILLAINS","Metro Boomin,The Weeknd,21 Savage",2022-12-02,221520,81,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"","Republic Records",0.716,0.613,1,-6.018,0,0.0522,0.391,0,0.0813,0.157,97.914,4
6TdFkofgTvN0WfnWFmh4a6,"née-nah","née-nah","21 Savage,Travis Scott,Metro Boomin",2024-01-10,220584,61,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Slaughter Gang, LLC/Epic Records",0.678,0.758,1,-6.524,1,0.227,0.00495,0,0.57,0.318,165.423,4
2c7z5oRcPBbqRaBY2mLWcf,"NEW DROP","HARDSTONE PSYCHO","Don Toliver",2024-06-14,217333,84,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"","Cactus Jack / Atlantic",0.757,0.628,4,-6.715,0,0.101,0.189,0.0209,0.221,0.321,119.98,4
6LyAwkJsHlW7RQ8S1cYAtM,"Overdue (with Travis Scott)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Travis Scott",2018-11-06,166093,76,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Republic Records",0.634,0.401,11,-11.212,0,0.0446,0.731,0.000132,0.334,0.494,150.174,4
4gh0ZnHzaTMT1sDga7Ek0N,"sdp interlude","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,191622,79,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack / Epic",0.507,0.586,0,-8.15,0,0.0586,0.599,0.0544,0.118,0.588,108.164,4
6gBFPUFcJLzWGx4lenP6h2,"goosebumps","Birds In The Trap Sing McKnight","Travis Scott",2016-09-16,243836,85,lrwec993p1qvg7n3m9qrpc5vb,2025-01-22T15:25:43Z,"rap","Cactus Jack / Epic",0.841,0.728,7,-3.37,1,0.0484,0.0847,0,0.149,0.43,130.049,4
